Allele,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D7S820,D2S441,TH01,FGA,D22S1045,D2S1338,D3S1358,D5S818,TPOX,vWA,D8S1179,SE33
32.1,,,,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,,0.11702,,,,,,,,,,,,0.01362
32.3,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,0.00213,,,,,,,,,,,,
33.1,,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.04043,,,,,,,,,,,,0.00766
34,,,,,,,,,0.00043,,,,,,,,,,,,
34.2,,,,,,,,,0.00468,,,,,,,,,,,,0.0034
35,,,,,,,,,0.00085,,,,,,,,,,,,0.00043
35.2,,,,,,,,,0.00085,,,,,,,,,,,,
36.2,,,,,,,,,0.00043,,,,,,,,,,,,
